task 1：
目标函数：315.071
决策变量：
x
t1  （大小 7）	t1  （大小 7）	v1  （大小 2）	值
1	1	1	0
1	1	2	0
1	2	1	0
1	2	2	0
1	3	1	0
1	3	2	0
1	4	1	0
1	4	2	0
1	5	1	0
1	5	2	0
1	6	1	0
1	6	2	0
1	7	1	1
1	7	2	0
2	1	1	1
2	1	2	0
2	2	1	0
2	2	2	0
2	3	1	0
2	3	2	0
2	4	1	0
2	4	2	0
2	5	1	0
2	5	2	0
2	6	1	0
2	6	2	0
2	7	1	0
2	7	2	0
3	1	1	0
3	1	2	0
3	2	1	0
3	2	2	0
3	3	1	0
3	3	2	0
3	4	1	0
3	4	2	0
3	5	1	1
3	5	2	0
3	6	1	0
3	6	2	0
3	7	1	0
3	7	2	0
4	1	1	0
4	1	2	0
4	2	1	0
4	2	2	0
4	3	1	0
4	3	2	0
4	4	1	0
4	4	2	0
4	5	1	0
4	5	2	0
4	6	1	1
4	6	2	0
4	7	1	0
4	7	2	0
5	1	1	0
5	1	2	0
5	2	1	1
5	2	2	0
5	3	1	0
5	3	2	0
5	4	1	0
5	4	2	0
5	5	1	0
5	5	2	0
5	6	1	0
5	6	2	0
5	7	1	0
5	7	2	0
6	1	1	0
6	1	2	0
6	2	1	0
6	2	2	0
6	3	1	1
6	3	2	0
6	4	1	0
6	4	2	0
6	5	1	0
6	5	2	0
6	6	1	0
6	6	2	0
6	7	1	0
6	7	2	0
7	1	1	0
7	1	2	0
7	2	1	0
7	2	2	0
7	3	1	0
7	3	2	0
7	4	1	1
7	4	2	0
7	5	1	0
7	5	2	0
7	6	1	0
7	6	2	0
7	7	1	0
7	7	2	0

y
t1  （大小 7）	值
1	0
2	9.38633307691311
3	5.10651158418699
4	1.51617614022143
5	6.67456606971831
6	2.78388357089534
7	0

时间：2.87

task 2：
目标函数：331.531
决策变量：
x
t1  （大小 7）	t1  （大小 7）	v1  （大小 2）	值
1	1	1	0
1	1	2	0
1	2	1	0
1	2	2	0
1	3	1	0
1	3	2	0
1	4	1	0
1	4	2	0
1	5	1	0
1	5	2	1
1	6	1	0
1	6	2	0
1	7	1	0
1	7	2	0
2	1	1	0
2	1	2	1
2	2	1	0
2	2	2	0
2	3	1	0
2	3	2	0
2	4	1	0
2	4	2	0
2	5	1	0
2	5	2	0
2	6	1	0
2	6	2	0
2	7	1	0
2	7	2	0
3	1	1	0
3	1	2	0
3	2	1	0
3	2	2	0
3	3	1	0
3	3	2	0
3	4	1	0
3	4	2	0
3	5	1	0
3	5	2	0
3	6	1	0
3	6	2	1
3	7	1	0
3	7	2	0
4	1	1	0
4	1	2	0
4	2	1	0
4	2	2	0
4	3	1	0
4	3	2	0
4	4	1	0
4	4	2	0
4	5	1	0
4	5	2	0
4	6	1	0
4	6	2	0
4	7	1	0
4	7	2	1
5	1	1	0
5	1	2	0
5	2	1	0
5	2	2	0
5	3	1	0
5	3	2	1
5	4	1	0
5	4	2	0
5	5	1	0
5	5	2	0
5	6	1	0
5	6	2	0
5	7	1	0
5	7	2	0
6	1	1	0
6	1	2	0
6	2	1	0
6	2	2	0
6	3	1	0
6	3	2	0
6	4	1	0
6	4	2	1
6	5	1	0
6	5	2	0
6	6	1	0
6	6	2	0
6	7	1	0
6	7	2	0
7	1	1	0
7	1	2	0
7	2	1	0
7	2	2	1
7	3	1	0
7	3	2	0
7	4	1	0
7	4	2	0
7	5	1	0
7	5	2	0
7	6	1	0
7	6	2	0
7	7	1	0
7	7	2	0

y
t1  （大小 7）	值
1	0
2	4.97722780567936
3	1.86445999840774
4	3.39463901435693
5	0.745821694508815
6	2.8326876421693
7	3.77343771437881

时间：3.24
